training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
15.634426,0.15372305,-1.6693313,174.99081,-145.15411,4766.5547,419.64777,418.53226,82.519226,0.4241028,0.14441022,6.3947854,0.82793677,0.0222079,310.66116,-29.32959,435.18082,464.5104,16.940159,0.29675394,-1.65688,419.11435,436.24606,83.30194,5.9281473,0.06681759,3.7750938,0.8540018,0.0377706,310.6816,-5.2249155,434.64844,439.87335,0.01240511713027954,1432.747650384903,70000
11.074072,0.19680768,-1.7088162,121.14561,-73.947655,1503.0947,435.33054,269.5729,66.2153,1.425972,0.013800851,2.0497565,0.71244466,0.05422488,309.8441,11.216092,450.82275,439.60666,13.739939,0.18853106,-1.7125878,439.38422,263.54968,62.02697,0.9418664,0.016405055,2.2013183,0.7396481,0.037294902,309.8299,10.408718,454.8757,444.46698,0.012409934329986572,1494.7973318099976,75000
19.99692,0.24431784,-1.8865955,446.40295,-524.27423,4728.4263,417.24927,453.7543,85.255585,8.85418,0.016459722,1.7475706,0.83103573,0.018074851,311.6383,10.4524355,432.83118,422.37875,19.423965,0.1638275,-1.7998053,419.68454,398.4878,82.58383,2.8324652,0.07660462,3.0648708,0.88048184,0.051184732,311.62463,-8.290654,435.26578,443.55643,0.012386895656585694,1556.7318210601807,80000
11.863138,0.05913433,-1.7040963,72.36181,-42.11241,1594.6521,425.37305,380.1867,76.549706,2.6340547,0.015348645,1.9423559,0.7496908,0.017919347,314.86557,10.910519,441.11633,430.2058,16.593649,0.28484246,-1.7629879,425.0839,372.01987,76.944595,2.9104977,0.036284335,3.4702897,0.7963052,0.023298891,314.84695,4.3183355,440.82623,436.5079,0.01240684733390808,1618.76606798172,85000
20.627262,0.21539402,-1.7658489,763.0274,-487.5931,6149.1543,410.60016,505.6076,92.766205,1.2891345,0.059666626,3.622349,0.87694806,0.033218343,313.14877,-3.027092,426.2576,429.2847,20.976635,0.25235015,-1.6864333,420.2683,511.10544,82.25022,1.629003,0.06418186,3.1102748,0.89933026,0.042521015,313.13055,-4.4407725,435.92484,440.3656,0.012373489284515381,1680.6335225105286,90000
17.310741,0.20292759,-1.5535573,196.45482,-255.70932,4304.7295,420.35678,388.30804,81.663956,3.973041,0.0803031,4.2377386,0.87379634,0.033415582,315.61237,-9.5640335,436.13742,445.70145,17.984879,0.21753317,-1.5674884,419.72614,360.36368,82.235695,2.0238922,0.0985057,4.1852465,0.87517387,0.032413483,315.60483,-15.308632,435.50638,450.815,0.0123634343624115,1742.4507048130035,95000
17.3431,0.23195335,-1.7604916,217.09966,-134.25089,2402.5005,431.0076,387.03928,70.755356,0.5916616,0.014596251,2.1951478,0.806825,0.040746048,317.8094,11.251644,446.89807,435.64642,17.301998,0.21119443,-1.7023323,431.70184,375.50296,70.02763,1.4548233,0.018249914,1.9944991,0.8233449,0.022236299,317.80377,10.090298,447.59204,437.50174,0.012364640998840331,1804.273918390274,100000
20.05651,0.29792902,-1.693953,129.57944,-172.93428,3260.6677,423.96582,446.60764,77.93044,1.9196737,0.059980847,3.9977999,0.8659426,0.050296865,318.29422,-3.1768456,439.88052,443.05737,16.271292,0.25539082,-1.5687623,416.70728,552.0742,86.08588,3.5641155,0.1472495,6.4231534,0.8589738,0.047742575,318.31775,-30.956244,432.62317,463.5794,0.11762280759811401,2392.387966156006,105000
16.334742,0.2285621,-1.6844876,224.91736,-260.02148,2952.0908,426.27612,362.2707,75.55002,1.3774315,0.04426329,2.9721518,0.83786356,0.01654894,319.32614,1.8318822,442.24243,440.41055,15.3541,0.11810106,-1.7770885,428.8547,348.87668,72.968445,2.8246098,0.029084394,2.4452217,0.8035738,0.030922556,319.3039,6.678435,444.81992,438.14148,0.012407221603393555,2454.4240839481354,110000
19.866695,0.17004707,-1.5706663,116.01658,-229.70787,2873.5933,419.55103,480.48676,83.12277,1.9156249,0.07564545,4.680502,0.9027681,0.044495866,318.37375,-8.164837,435.46973,443.63455,19.773367,0.26602185,-1.6751556,417.44257,532.0713,85.31868,2.3558702,0.043255948,2.513477,0.8870124,0.02446541,318.38498,2.1472054,433.36182,431.2146,0.012394647884368896,2516.3973338603973,115000
