training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
47.66834,-0.7905696,-1.9746089,0.9992523,0.93359375,0.003308338,-16.713507,-16.79088,3.0173683,20527.988,549.712,1.5594406e-06,2.4102793,-2.8270304,113.21527,0.99890137,0.90625,0.0037520707,-16.076584,-16.150896,2.8730917,325199.47,1558.2216,6.959311e-06,42.514412,-1.3707297,-2.0351748,0.997879,0.73828125,0.011202119,-16.297272,-16.359034,-0.54763293,43516.973,260.4668,3.3688766e-10,0.99775696,0.703125,0.011574474,-15.477812,-15.535501,-0.7669163,5348.4717,109.726265,9.555828e-10,0.014784857511520385,1409.6915278434753,55000
53.11877,-0.79760385,-1.9517012,0.9994354,0.97265625,0.0023477573,-17.304302,-17.385416,3.3795733,104447.85,852.639,5.629545e-07,2.8719893,-4.2943726,114.649704,0.99931335,0.96875,0.0024061636,-16.560032,-16.638966,3.5677354,75486.02,1334.2145,1.2448749e-06,41.671776,-1.2561731,-1.934664,0.99794006,0.73046875,0.011789408,-17.047783,-17.111599,-0.7741735,173609.81,726.53595,3.6273036e-09,0.9976654,0.6875,0.012540745,-16.216238,-16.27567,-1.0610579,11273.452,195.42346,3.49432e-11,0.014761854457855224,1483.500812292099,60000
47.583668,-0.9107357,-1.98054,0.9992981,0.92578125,0.003432387,-17.402157,-17.482803,3.1627383,36175.234,587.8095,1.269593e-05,2.3894558,-2.4337473,108.37404,0.9991455,0.91015625,0.003491331,-16.12738,-16.201736,2.8332918,14335.328,374.22604,3.806328e-06,39.384068,-1.5694146,-1.9817427,0.9979706,0.71484375,0.012478393,-17.415638,-17.479767,-1.0628469,6601.2314,102.18097,3.6043033e-09,0.99765015,0.67578125,0.012936059,-16.212048,-16.270405,-1.3305047,7798.5625,99.39812,1.5220252e-08,0.014778318977355957,1557.3924202919006,65000
46.87561,-0.74186045,-1.9969482,0.9994049,0.94921875,0.0029775482,-17.633858,-17.715235,3.1178806,22020.291,527.57776,6.600858e-07,3.1484997,-3.6391058,142.5348,0.99909973,0.9375,0.0032688004,-16.64238,-16.71865,2.8069603,88232.914,592.0936,7.6003275e-06,45.112328,-1.417647,-1.9604905,0.99812317,0.75,0.011747199,-17.871403,-17.93923,-0.57552356,19005.121,226.32985,1.3578663e-10,0.9979706,0.6953125,0.012247177,-16.637049,-16.69859,-0.94355,32121.848,235.70557,1.8971892e-11,0.01479236650466919,1631.3542640209198,70000
42.431915,-0.8760753,-1.9445381,0.99923706,0.953125,0.0033923206,-17.807194,-17.888437,2.910566,54564.61,658.63055,1.4477204e-06,4.8517694,-5.2582974,163.62903,0.9989929,0.8984375,0.003608714,-16.281502,-16.355484,2.5840259,22351.941,374.6354,4.1113358e-07,48.335518,-1.0339679,-1.9172199,0.99780273,0.67578125,0.012762805,-17.279182,-17.341919,-1.2815154,32272.703,216.77626,1.8196235e-10,0.9974365,0.64453125,0.013930975,-16.2135,-16.271109,-1.5231832,16407.203,131.76735,7.7755935e-10,0.014739862298965454,1705.0535871982574,75000
41.811367,-0.96534014,-1.9105365,0.9996033,0.97265625,0.0017812271,-17.969872,-18.055586,3.8878956,45275.05,1023.6187,0.00040122386,1.9464822,-4.2561154,115.85072,0.9992523,0.953125,0.0020486508,-17.114193,-17.195856,3.7103944,69883.5,912.7809,0.0020297572,57.269127,-0.8885307,-1.8848238,0.9977722,0.73046875,0.012234939,-17.129543,-17.192282,-1.13111,13851.449,139.32608,1.7102953e-09,0.9975281,0.6484375,0.013599364,-16.520718,-16.578602,-1.7595497,3283.6604,82.88739,8.2081686e-10,0.014766859340667725,1778.8878953456879,80000
56.390694,-0.40171486,-1.9637772,0.99935913,0.9453125,0.0026253662,-18.242325,-18.327858,3.568327,47373.652,972.2885,1.914319e-05,7.7413163,-5.482682,243.7984,0.999115,0.9375,0.0029406261,-17.451437,-17.53157,2.9827695,18350.89,396.92447,9.1859794e-05,43.60397,-1.451699,-1.8406254,0.9979553,0.7578125,0.012596039,-18.259186,-18.32673,-1.0355251,19181.307,260.8114,6.151727e-14,0.9978485,0.72265625,0.011770447,-17.48364,-17.547678,-1.153792,11934.742,140.03688,1.6302128e-11,0.014763303899765014,1852.704426765442,85000
51.047928,-0.6904404,-1.8698008,0.99946594,0.94921875,0.0028133404,-17.984955,-18.070652,3.8682876,131427.55,1477.1567,1.7787999e-08,5.4328794,-6.8576097,146.94945,0.99931335,0.9453125,0.0025801265,-17.128239,-17.210543,3.8586895,185205.61,2009.8605,2.5716324e-06,50.280655,-1.1635416,-1.9425163,0.99798584,0.72265625,0.012671996,-18.071049,-18.136967,-1.2609595,28592.74,194.72122,6.434312e-11,0.99760437,0.69140625,0.013414986,-17.569689,-17.632652,-1.5138311,5533.269,97.796,4.9438637e-10,0.014818585443496703,1926.7973659038544,90000
52.608868,-0.51570296,-1.8703275,0.9996033,0.96484375,0.0019720125,-18.201576,-18.288906,4.067496,79617.67,1007.0269,8.191361e-05,3.699482,-4.1318707,172.01968,0.99935913,0.9609375,0.0022701796,-17.932896,-18.018534,3.9050608,50814.234,1241.953,0.00011456759,63.65077,-0.8387169,-1.9594636,0.99801636,0.74609375,0.011664936,-18.293797,-18.364388,-0.29291797,62115.38,406.316,6.367084e-10,0.9977722,0.703125,0.0118553545,-17.615112,-17.680393,-0.96805114,9559.957,204.47525,1.1894002e-10,0.01477140154838562,2000.6543865203857,95000
46.802025,-1.1135492,-1.9283582,0.99949646,0.96484375,0.0019244615,-18.631495,-18.718803,3.6319942,53177.45,1010.68176,0.000103636936,5.673032,-6.2560177,161.42247,0.9992676,0.9609375,0.0020683962,-17.839798,-17.923477,3.4994524,598290.8,3281.4617,0.0004524828,40.72428,-1.4478558,-1.9549372,0.9975281,0.72265625,0.013943904,-18.38487,-18.450504,-1.6479766,129002.83,440.7128,3.1393323e-12,0.99754333,0.66015625,0.013393553,-17.742947,-17.80596,-1.6744968,14150.249,125.545265,1.2620239e-09,0.014759225177764892,2074.450524330139,100000
