training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
11.036691,-12.048596,267.4562,459.59183,4.1094685,-10.55448,0.273019,1.0,297.80872,0.027051654,-20.648901,0.12868482,1.0,0.0789364,-16.875454,-26.527546,1.1306872,429.81082,4.038063,-10.739833,0.31008956,1.0,265.65326,-0.043676093,-20.694508,0.13302854,1.0,0.061021872,-17.68592,-26.583992,0.94329154,0.5056251778125763,2528.1259083747864,5000
8.146891,-7.2662916,260.62643,602.9646,5.817126,-10.225721,0.20726728,1.0,383.99054,0.12755035,-20.415579,0.10646384,1.0,0.22775137,-24.73739,-46.773033,1.3791437,605.8899,6.2994614,-10.254695,0.21306196,1.0,371.5431,0.09983868,-20.42838,0.10768291,1.0,0.25108635,-25.190123,-46.740906,1.1193031,0.00419544095993042,2549.1031198501587,10000
7.979161,-11.615362,252.95494,644.3574,7.491582,-9.9291315,0.1479493,1.0,390.26364,0.24399261,-20.279278,0.0934829,1.0,0.07510916,-33.605766,-63.86026,0.98703855,621.8272,6.6057453,-10.016476,0.1654182,1.0,382.28537,0.19737989,-20.315142,0.096898444,1.0,0.11512013,-33.519943,-63.874336,0.82473993,0.003753841495513916,2567.87233543396,15000
7.2763634,-7.5628653,280.47617,658.381,6.7775984,-10.063102,0.17474328,1.0,459.27423,0.13878913,-20.25229,0.09091259,1.0,0.1160751,-31.550163,-76.92682,1.9409683,685.1942,7.620825,-10.064362,0.1749953,1.0,492.50635,0.22781828,-20.292488,0.09474103,1.0,0.12567085,-33.621117,-77.15248,1.8623831,0.003817162179946899,2586.9581542015076,20000
8.764304,-11.51841,256.33704,703.6583,9.620078,-9.721659,0.10645463,1.0,348.84924,0.24819635,-20.254772,0.091148935,1.0,0.17211634,-38.85987,-86.51633,1.1269832,670.4303,8.303141,-9.696807,0.10148437,1.0,325.39093,0.14585355,-20.266008,0.09221904,1.0,0.17343996,-39.487114,-86.46134,0.74170613,0.003793554401397705,2605.925933599472,25000
6.1022334,-3.9270153,201.69366,670.4509,9.714461,-9.587853,0.079693615,1.0,393.963,0.2164099,-20.209005,0.08679015,1.0,0.09299976,-40.14808,-92.067604,0.9295839,688.7362,10.267422,-9.615806,0.08528399,1.0,365.48813,0.25348723,-20.241661,0.089900166,1.0,0.07796792,-41.60962,-91.26544,0.8883376,0.003791694402694702,2624.884412765503,30000
4.308676,-4.01093,222.44273,650.59424,9.515851,-9.658245,0.093772076,1.0,494.6555,0.24088354,-20.17876,0.08390968,1.0,0.15770836,-44.682114,-100.23944,1.2377762,684.26697,10.365946,-9.657511,0.09362513,1.0,515.21814,0.25666744,-20.239578,0.08970188,1.0,0.19243556,-44.533165,-100.33176,1.7638587,0.00372287859916687,2643.4988129138947,35000
5.1681895,-5.4883723,207.61626,663.5723,9.56511,-9.561405,0.074403964,1.0,449.51648,0.35606208,-20.188822,0.0848679,1.0,0.19163145,-42.73323,-107.37404,1.7910329,690.73254,11.001231,-9.5440645,0.07093593,1.0,452.15753,0.24033163,-20.207033,0.08660228,1.0,0.19615304,-43.157455,-106.497215,1.3728845,0.004170002794265747,2664.348835706711,40000
3.2127023,-3.6597285,123.801926,621.61145,7.7084045,-9.35376,0.032875042,1.0,178.74915,0.081668645,-20.21437,0.08730119,1.0,-0.025981136,-35.062836,-86.570076,0.7626773,645.45483,8.38172,-9.3612,0.034362894,1.0,181.21388,0.14466143,-20.250376,0.09073014,1.0,0.01648267,-35.61427,-83.00637,1.055711,0.004273390388488769,2685.7157962322235,45000
3.8194027,-4.226238,178.45862,641.42456,9.572711,-9.436691,0.049461264,1.0,378.08618,0.24139121,-20.16055,0.0821753,1.0,0.2360377,-40.12554,-105.43593,1.2085395,682.4061,10.160104,-9.464851,0.055093285,1.0,432.13605,0.33325964,-20.216183,0.08747365,1.0,0.25172967,-41.76685,-98.55299,0.9326507,0.0039549463748931885,2705.490536212921,50000
3.5043707,-3.5064738,178.78618,649.2239,9.7482605,-9.482245,0.058571994,1.0,370.30893,0.23900068,-20.118652,0.07818512,1.0,0.09568418,-41.26009,-113.09741,1.2844343,693.0,10.690575,-9.5024185,0.062606566,1.0,351.15158,0.19942185,-20.214968,0.08735801,1.0,0.11256532,-41.503773,-112.04999,1.1806531,0.003917980718612671,2725.080447912216,55000
4.7102757,-5.629084,246.81433,652.77136,9.941427,-9.529165,0.06795597,1.0,582.13074,0.3637547,-20.129063,0.0791764,1.0,0.074440025,-46.081562,-118.60962,1.4203717,656.17004,8.788194,-9.587444,0.07961186,1.0,531.0365,0.29683465,-20.173923,0.08344895,1.0,0.14582174,-45.09547,-111.44326,1.3646426,0.0039064094066619875,2744.612503051758,60000
5.212661,-2.7644587,150.6608,665.30615,10.332206,-9.387978,0.03971846,1.0,236.79501,0.1658608,-20.141024,0.08031562,1.0,0.21101777,-44.561386,-120.194496,1.2018937,673.75714,10.707208,-9.392873,0.04069756,1.0,231.6022,0.15170267,-20.19677,0.08562476,1.0,0.2210845,-45.322258,-120.74707,0.9327755,0.003909991788864136,2764.162471294403,65000
3.7837267,-3.0051637,163.60938,666.636,11.318847,-9.383619,0.038846828,1.0,333.82886,0.20237926,-20.141241,0.08033646,1.0,0.13012734,-50.272163,-121.34029,1.0681905,665.2423,10.825097,-9.433884,0.04889968,1.0,382.40723,0.28702837,-20.177406,0.0837807,1.0,0.09479055,-50.564487,-119.6357,1.116774,0.004069497013092041,2784.509964466095,70000
3.6355424,-3.3198147,200.61497,651.11365,10.796747,-9.478439,0.057811048,1.0,507.06158,0.29839617,-20.138577,0.080082506,1.0,0.27959144,-50.932102,-131.73166,1.9730418,657.348,10.380184,-9.498577,0.061838355,1.0,533.6811,0.389395,-20.177391,0.083779246,1.0,0.27839062,-49.738564,-129.50017,1.9169915,0.0046020880222320554,2807.5204129219055,75000
4.0684323,-3.9622052,213.42873,669.6383,10.944314,-9.450697,0.052262437,1.0,478.94434,0.33513352,-20.150974,0.08126346,1.0,0.13298328,-51.02787,-135.34122,1.7668598,683.2123,12.0542,-9.473848,0.05689255,1.0,480.50836,0.29415458,-20.19035,0.08501333,1.0,0.12701571,-52.853027,-129.51648,1.7068692,0.003937578010559082,2827.2083110809326,80000
5.2544956,-4.9810753,239.47197,636.66614,9.899793,-9.472391,0.056601133,1.0,520.8224,0.3021713,-20.115353,0.07787093,1.0,0.3455891,-39.142735,-138.521,2.218204,636.3545,8.710175,-9.51405,0.064932816,1.0,493.16833,0.14780895,-20.200462,0.08597668,1.0,0.35113573,-40.3862,-128.55519,2.163219,0.0038850367069244384,2846.633502483368,85000
4.8498087,-4.0974746,200.92561,660.735,10.442997,-9.450716,0.05226617,1.0,468.69733,0.38072342,-20.135933,0.07983095,1.0,0.42127335,-42.26481,-143.82062,1.6076537,644.20154,8.606585,-9.513855,0.064894,1.0,458.72458,0.24217261,-20.160309,0.08215219,1.0,0.3971443,-42.407745,-132.69702,1.4992192,0.003925324153900146,2866.2601311206818,90000
6.9296494,-6.861724,248.45256,651.25964,10.550899,-9.52346,0.06681515,1.0,475.74194,0.33197474,-20.11081,0.07743815,1.0,0.22945249,-51.00686,-147.28857,2.324463,674.8789,10.705204,-9.588524,0.079827726,1.0,515.7665,0.3041939,-20.168423,0.082925126,1.0,0.32361713,-48.54072,-134.93661,2.1818643,0.0038646300315856932,2885.583288669586,95000
11.475272,-13.016168,412.31503,686.47424,12.998318,-9.501627,0.06244849,1.0,513.2103,0.2739206,-20.105694,0.076950975,1.0,-0.16790909,-55.68547,-151.12335,4.17164,675.2742,12.227402,-9.604439,0.08301075,1.0,571.50665,0.38947883,-20.13987,0.080205895,1.0,-0.13222077,-53.899895,-134.09384,1.6238024,0.0039596380233764645,2905.381485939026,100000
4.516385,-3.9665012,250.3334,670.5281,12.665048,-9.516542,0.06543144,1.0,458.67288,0.31619233,-20.12716,0.07899515,1.0,0.14606525,-56.069717,-136.47858,2.222123,664.82007,12.538696,-9.571475,0.076418,1.0,449.8244,0.35775048,-20.159512,0.0820765,1.0,0.066696376,-55.983814,-144.34485,1.5818344,0.45091369709968565,5159.949978590012,105000
8.045967,-7.9152527,327.15884,654.2455,9.050569,-9.598129,0.081748895,1.0,614.5393,0.27027997,-20.078514,0.074362315,1.0,0.1882413,-43.85966,-159.02205,4.7521048,691.46173,11.02758,-9.660574,0.0942379,1.0,562.88666,0.21789727,-20.139534,0.08017397,1.0,0.09962386,-46.174965,-139.35645,2.7643447,0.003950967836380005,5179.7048263549805,110000
