training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
13.142103,-8.517035,293.4421,614.38025,4.0070257,-9.761934,0.11450987,1.0,153.10526,0.36173865,-7.602589,0.06277019,1.0,0.36050332,-36.577377,-99.89267,3.5821676,3.578075,645.9859,4.3773603,-9.75268,0.11265897,1.0,156.54156,0.37104714,-7.621976,0.06761703,1.0,0.48415768,-35.534504,-99.709305,3.5639138,3.2916045,0.005320641708374024,1859.9747972488403,70000
23.964409,-10.852443,286.06662,643.6756,4.258336,-9.697439,0.101610795,1.0,158.76524,0.39473993,-7.570243,0.054683648,1.0,0.13386668,-37.112408,-100.613235,3.7219841,2.946106,629.3703,3.8530848,-9.767454,0.11561377,1.0,161.12488,0.40663052,-7.6443596,0.07321294,1.0,0.23921324,-35.93455,-100.64346,3.7140527,3.3550518,0.0053330271720886235,1886.639943599701,75000
22.400772,-24.037891,532.6075,610.35364,3.5685217,-9.838657,0.12985454,1.0,169.29248,0.46033084,-7.5790343,0.056881487,1.0,0.20829773,-34.725994,-101.1808,3.4884465,8.133541,646.40466,4.143136,-9.878939,0.13791068,1.0,181.51242,0.477379,-7.644556,0.07326196,1.0,0.077905156,-36.25042,-101.432686,3.6175892,2.809287,0.005348189878463745,1913.3808999061584,80000
43.274944,-42.108032,646.4349,637.8081,4.1103334,-9.735208,0.10916441,1.0,181.17776,0.4178427,-7.583921,0.058103207,1.0,0.295644,-35.303436,-101.20898,3.4403944,3.5687218,648.7084,3.9560184,-9.820271,0.12617698,1.0,180.1158,0.432545,-7.65617,0.0761655,1.0,0.1816161,-36.930035,-101.11395,3.6420767,3.2409115,0.005330717277526855,1940.0344939231873,85000
8.366483,-11.612371,289.99847,629.40283,4.166315,-9.684275,0.098977864,1.0,168.44028,0.44255137,-7.591325,0.059954118,1.0,0.036277644,-36.871998,-102.21598,3.6539092,3.1337435,639.10486,4.3269954,-9.778717,0.11786635,1.0,174.89299,0.41037536,-7.633379,0.0704676,1.0,0.060621463,-35.912643,-102.05549,3.6353097,3.8316917,0.005301872444152832,1966.543862581253,90000
9.489236,-6.367774,250.2514,656.0534,4.321801,-9.735207,0.10916424,1.0,137.05789,0.30308452,-7.5843964,0.058221977,1.0,0.24716705,-35.982796,-102.82561,3.6562483,2.4356155,654.446,4.5688715,-9.817966,0.12571633,1.0,145.44527,0.37272614,-7.6663423,0.078708515,1.0,0.24878809,-38.099735,-101.74737,3.8481474,3.9050932,0.005348760271072388,1993.287670135498,95000
14.756222,-21.204042,279.57028,659.2018,4.657571,-9.730056,0.10813425,1.0,155.17122,0.37920088,-7.5825577,0.057762332,1.0,0.3424104,-36.376335,-110.45415,3.7527266,3.203897,644.7888,4.0492153,-9.860271,0.13417721,1.0,171.61368,0.42917597,-7.66849,0.079245456,1.0,0.30882418,-37.176876,-101.00159,3.934691,2.98069,0.005317561340332031,2019.8754832744598,100000
8.705218,-11.650346,289.3597,647.0537,4.481263,-9.759722,0.1140671,1.0,165.72997,0.3644794,-7.5783167,0.056702103,1.0,0.303584,-35.985394,-112.973045,3.697125,3.0693078,651.21,4.3963165,-9.814952,0.12511335,1.0,174.83797,0.47625166,-7.660652,0.077285945,1.0,0.0904122,-39.06914,-101.9916,4.1133804,3.6195846,0.21527896852493286,3096.2703325748444,105000
9.53017,-9.736757,282.60803,636.854,4.0032625,-9.712254,0.104573786,1.0,177.3969,0.44662648,-7.5655184,0.053502627,1.0,0.12600611,-36.69601,-112.747635,3.7159243,3.2118723,629.6959,4.031679,-9.82835,0.12779287,1.0,187.17027,0.43495256,-7.6466312,0.073780715,1.0,0.27132955,-37.226357,-103.48878,3.8523014,3.6110702,0.0052978789329528805,3122.7597336769104,110000
25.808374,-20.159483,326.7519,646.84406,4.187154,-9.623972,0.08691746,1.0,153.73038,0.4332305,-7.574044,0.055634014,1.0,0.18314126,-37.022717,-120.09597,3.8033795,4.060284,647.5399,4.174201,-9.744989,0.111120954,1.0,166.55544,0.4326935,-7.6480207,0.07412821,1.0,0.22395039,-35.841045,-102.290634,3.7524347,3.975106,0.00529980115890503,3149.2587461471558,115000
9.752197,-10.749498,261.66312,629.676,3.845295,-9.738577,0.10983842,1.0,169.81244,0.326655,-7.570302,0.054698482,1.0,0.28695613,-36.75175,-133.62067,3.696639,2.4758978,660.4348,4.506264,-9.811644,0.12445166,1.0,169.87454,0.44730783,-7.626503,0.06874875,1.0,0.26298457,-37.40068,-104.84357,3.8566432,3.2220864,0.005323428869247437,3175.875897169113,120000
17.213982,-27.99878,362.712,644.82556,3.9915051,-9.733593,0.108841635,1.0,154.54964,0.357073,-7.579916,0.05710195,1.0,0.18214637,-36.54425,-139.6202,3.8380442,3.9121737,666.7242,4.511673,-9.784228,0.11896858,1.0,176.02621,0.45595622,-7.6522636,0.07518878,1.0,0.1668978,-37.566174,-112.02553,4.002282,4.3860006,0.005313862991333008,3202.44521856308,125000
10.613702,-8.939414,281.27567,636.6277,4.1217785,-9.631729,0.08846887,1.0,183.05478,0.50923556,-7.5708475,0.054834858,1.0,0.18297005,-37.605133,-138.10292,3.9687316,3.4231267,636.3064,3.887556,-9.784452,0.11901344,1.0,173.51257,0.39430952,-7.6347218,0.070803404,1.0,0.21898602,-37.867912,-109.81227,4.086592,2.9647372,0.00531430492401123,3229.0167496204376,130000
11.926739,-14.61627,314.8065,633.16016,4.2902184,-9.67256,0.09663492,1.0,151.98691,0.397882,-7.5700474,0.054634754,1.0,0.33943462,-37.161274,-159.52913,4.2009144,3.5389347,646.19574,4.076594,-9.789959,0.120114684,1.0,174.24365,0.48276263,-7.6385326,0.07175609,1.0,0.16290167,-36.95565,-106.9177,4.0930767,5.1449423,0.005317129516601562,3255.602404356003,135000
8.197816,-8.260477,264.54895,647.1001,4.20051,-9.64237,0.09059693,1.0,153.59344,0.43090123,-7.562671,0.052790806,1.0,0.13967389,-36.42422,-144.6972,4.152012,2.833218,649.32715,4.352929,-9.79118,0.12035873,1.0,172.27882,0.3873818,-7.64921,0.07442534,1.0,0.15271579,-36.852406,-128.28734,4.2760267,4.5668354,0.005512072801589966,3283.162775039673,140000
10.931335,-10.687024,285.36676,662.05896,4.204115,-9.666264,0.09537586,1.0,176.77943,0.4435374,-7.5690813,0.054393277,1.0,0.4931219,-38.252605,-166.71745,4.426526,3.5975173,658.71594,4.4153914,-9.750428,0.112208545,1.0,195.03922,0.3725555,-7.658819,0.07682784,1.0,0.21287668,-37.26861,-107.58994,4.5232677,3.537146,0.005309075403213501,3309.7081582546234,145000
5.1165338,-7.4829082,265.17554,638.8845,4.6198945,-9.639733,0.09006972,1.0,173.0924,0.40823174,-7.573428,0.0554799,1.0,0.41571638,-36.96566,-161.7888,4.6269007,3.680684,654.33154,4.388279,-9.829617,0.1280462,1.0,174.67554,0.4652112,-7.657693,0.07654619,1.0,0.3571341,-36.451046,-119.74889,4.549886,7.2144246,0.005332490825653076,3336.370619535446,150000
15.778413,-12.5779915,321.02072,664.24744,4.4543095,-9.620539,0.08623073,1.0,164.37622,0.48320624,-7.5562615,0.051188365,1.0,0.1439959,-37.58147,-162.33604,4.538804,3.7812347,659.0859,4.5884447,-9.759756,0.11407417,1.0,159.17093,0.38157895,-7.655843,0.076083586,1.0,0.5062867,-37.107845,-118.66819,4.6565285,3.453582,0.005302199316024781,3362.881622314453,155000
10.5516205,-17.364641,256.27417,681.1345,4.430341,-9.616976,0.08551808,1.0,158.36414,0.37912136,-7.579878,0.057092473,1.0,0.22993204,-37.766396,-172.78958,4.8079624,2.9786983,665.4631,4.390477,-9.656895,0.09350196,1.0,170.77716,0.37616497,-7.637252,0.071436,1.0,0.14925063,-37.267353,-113.16787,5.122095,5.6941466,0.005306770896911621,3389.4154858589172,160000
14.484343,-16.558483,299.4817,646.58276,4.315818,-9.680685,0.09826005,1.0,163.55295,0.45437792,-7.5765505,0.056260634,1.0,0.18167435,-37.70577,-154.5089,4.8895016,3.493783,624.6012,4.304591,-9.753258,0.11277445,1.0,172.67682,0.44426742,-7.637982,0.07161836,1.0,2.1184468,-37.07314,-114.10522,5.017685,6.825111,0.00534892578125,3416.1601231098175,165000
10.382127,-7.6282525,262.95117,664.7024,4.918387,-9.625082,0.087139316,1.0,147.16824,0.32983923,-7.5747538,0.055811334,1.0,0.28881276,-38.085953,-145.91896,5.0360847,3.6501925,646.0779,4.3210487,-9.695103,0.101143554,1.0,157.7016,0.45965356,-7.625517,0.06850216,1.0,0.21822906,-37.255592,-119.39379,5.0582585,5.8970485,0.005337867021560669,3442.849465370178,170000
11.060804,-9.566541,358.2548,656.49744,4.1759624,-9.648069,0.09173684,1.0,173.2515,0.47527337,-7.5695457,0.054509435,1.0,0.12641902,-38.210945,-151.42986,5.1974535,4.1853733,652.94214,4.2969165,-9.756798,0.11348267,1.0,168.0875,0.45750272,-7.663953,0.07811116,1.0,2.127761,-36.7674,-120.511696,5.072936,5.113527,0.005324775314331055,3469.473348379135,175000
11.59778,-10.030669,280.70306,658.45215,4.1120777,-9.711773,0.10447742,1.0,149.55215,0.30575737,-7.55428,0.050692886,1.0,2.429668,-37.873413,-167.69832,5.386202,3.09649,651.1427,4.3239775,-9.733469,0.108816795,1.0,176.95409,0.50291896,-7.665983,0.07861883,1.0,0.15645103,-36.944225,-121.049904,5.3592653,4.948905,0.005332392835617065,3496.1353187561035,180000
17.83313,-19.024187,432.45682,602.4743,3.6011462,-9.669769,0.0960769,1.0,148.98996,0.34075382,-7.5672674,0.053939767,1.0,17.789827,-37.926613,-160.5685,5.446064,6.1149697,645.00757,4.4195795,-9.699542,0.10203153,1.0,154.36017,0.42893776,-7.6544204,0.07572807,1.0,9.650418,-35.713573,-123.14615,5.353819,5.377324,0.005331783390045166,3522.794242620468,185000
16.362913,-12.751192,320.26556,648.85657,3.9616475,-9.74435,0.11099315,1.0,166.28543,0.38665837,-7.5689716,0.05436594,1.0,31.023487,-35.10197,-191.07333,5.0692644,3.3836732,668.4162,4.38608,-9.8254795,0.12721896,1.0,176.81815,0.43930697,-7.646947,0.073859684,1.0,0.63738436,-35.696938,-117.76161,5.1931105,4.9040155,0.005357934713363648,3549.583922624588,190000
8.694792,-10.181761,263.4364,638.6522,3.7415938,-9.639476,0.090018116,1.0,150.11282,0.3732084,-7.568694,0.05429655,1.0,6.1912875,-35.8139,-151.5637,5.1345515,3.5109313,668.21875,4.2269664,-9.697496,0.10162206,1.0,161.85828,0.44383854,-7.6568995,0.07634792,1.0,0.25039274,-37.196175,-111.89274,5.940817,3.9353926,0.005322799301147461,3576.1979269981384,195000
10.077598,-9.519953,269.98096,660.16516,4.5351114,-9.654314,0.092985824,1.0,152.63254,0.3568505,-7.576193,0.05617126,1.0,0.40014225,-36.412346,-192.2443,5.26571,2.7346404,643.5986,4.101524,-9.735628,0.10924864,1.0,161.20782,0.28633738,-7.6449075,0.0733498,1.0,0.26834306,-36.25945,-105.61086,5.3346615,3.0962,0.005358108568191528,3602.988476753235,200000
21.258049,-9.431698,229.27855,650.9402,4.334532,-9.587564,0.079636045,1.0,183.28586,0.5372581,-7.5496454,0.049534433,1.0,23.37061,-38.217674,-146.48442,5.905364,3.3719249,654.8519,4.4285088,-9.698273,0.10177749,1.0,169.13272,0.4254629,-7.644658,0.07328738,1.0,0.3103812,-35.541073,-108.77107,5.37813,5.3865695,0.17804016160964967,4493.189291000366,205000
12.650455,-10.402294,297.02365,649.85547,4.2180777,-9.657448,0.09361249,1.0,167.10094,0.38533273,-7.5688396,0.05433285,1.0,16.113953,-36.640804,-148.62424,5.5442595,3.8681738,672.17725,4.583324,-9.80211,0.122544885,1.0,183.37839,0.41578358,-7.6557994,0.07607278,1.0,0.17138803,-35.63911,-106.93448,5.544051,4.035592,0.005305482530593872,4519.716710805893,210000
12.2943125,-11.656056,240.06761,635.1276,4.09087,-9.621031,0.086329065,1.0,167.23071,0.48834574,-7.5616965,0.052547082,1.0,2.445044,-36.87097,-163.09688,5.611287,2.8704438,666.2197,4.3462725,-9.71874,0.10587108,1.0,169.00793,0.4419781,-7.6555405,0.07600798,1.0,0.23095232,-36.142105,-102.54904,5.582637,3.4808168,0.005307175636291504,4546.252595901489,215000
8.010429,-14.317284,277.40964,660.18353,4.3461385,-9.642466,0.09061604,1.0,172.2977,0.34673598,-7.5678716,0.054090858,1.0,13.473004,-36.473915,-135.41977,5.339271,2.9350135,662.6676,4.3679676,-9.743715,0.11086595,1.0,171.39737,0.46158445,-7.666281,0.07869327,1.0,0.71588105,-37.85522,-109.74206,5.984227,3.7637873,0.0053040406227111815,4572.772805452347,220000
33.62186,-12.179778,289.98788,637.7978,3.9873977,-9.615741,0.08527114,1.0,149.43172,0.37388545,-7.5509725,0.049866114,1.0,5.9677176,-36.422974,-141.80301,5.776567,3.7320948,666.8436,4.9315963,-9.724011,0.10692525,1.0,167.59814,0.44368,-7.6491985,0.07442253,1.0,6.54423,-37.825348,-112.963554,6.328884,3.527834,0.005309009027481079,4599.317857265472,225000
10.4958725,-9.458002,271.40692,650.4265,4.2837844,-9.604067,0.08293634,1.0,154.68562,0.37057626,-7.562744,0.05280897,1.0,24.74116,-37.45761,-162.70108,5.843871,3.7944798,657.3136,4.194722,-9.744298,0.11098256,1.0,171.711,0.35673517,-7.659996,0.07712201,1.0,5.4593306,-36.12115,-110.10662,5.6849756,3.9738665,0.0052956485271453855,4625.796107053757,230000
20.126814,-8.130922,273.93805,633.4809,3.9825037,-9.636669,0.08945675,1.0,173.83939,0.4315523,-7.5681834,0.054168813,1.0,11.996269,-37.352657,-130.94257,5.6618047,2.8828053,676.1229,4.604102,-9.680214,0.09816573,1.0,185.42862,0.5777589,-7.6538353,0.07558185,1.0,0.24092154,-38.92217,-112.20137,6.0261335,4.9115024,0.005313151931762695,4652.361873626709,235000
10.091411,-27.626877,338.0681,660.1671,4.6411495,-9.611488,0.08442078,1.0,151.39526,0.36442918,-7.5663047,0.053699132,1.0,8.099759,-37.04949,-145.80511,5.669884,3.5690737,652.9043,4.1893435,-9.688054,0.09973382,1.0,159.0357,0.3926056,-7.6514874,0.07499469,1.0,0.43351197,-37.362606,-115.04004,5.899531,4.0852375,0.005330661582946777,4679.015189409256,240000
25.12503,-23.772081,367.66434,658.8033,4.51326,-9.569173,0.07595759,1.0,176.13625,0.36368632,-7.561709,0.05255022,1.0,0.21028736,-37.27436,-144.91304,5.8709154,4.4139843,635.1361,4.2582245,-9.70639,0.103401,1.0,184.8489,0.45088094,-7.659258,0.07693738,1.0,0.20247804,-35.795185,-113.65194,5.460499,5.3365116,0.005353993988037109,4705.7851667404175,245000
15.827526,-19.769726,345.46274,643.562,4.0459003,-9.574112,0.076945335,1.0,173.09541,0.43075722,-7.5698833,0.054593876,1.0,7.0387597,-36.714245,-158.41736,5.5794067,4.4087515,663.80994,4.7031155,-9.706003,0.10332348,1.0,175.11949,0.46295017,-7.6459026,0.07359865,1.0,0.31064412,-36.31622,-113.86276,5.5406137,4.4749312,0.005313807439804077,4732.354211091995,250000
12.81091,-12.925412,241.76486,619.68677,4.0046415,-9.608843,0.08389157,1.0,176.43834,0.32663953,-7.5679445,0.054109108,1.0,0.35990882,-37.899067,-174.64545,5.9295692,3.4556212,661.3348,4.377358,-9.679329,0.09798876,1.0,176.68692,0.4637673,-7.6716695,0.0800403,1.0,0.329645,-35.85075,-117.74938,5.558667,3.5883079,0.005312657070159912,4758.917503118515,255000
24.055378,-30.975512,524.61206,633.76074,4.033693,-9.654051,0.092933,1.0,158.23111,0.4701544,-7.5614467,0.05248458,1.0,5.9468236,-36.93073,-161.7585,5.879974,5.102237,651.7742,4.225016,-9.766025,0.115327835,1.0,163.96146,0.35451126,-7.6499662,0.07461448,1.0,5.7044735,-36.181126,-107.25245,5.8825912,3.94309,0.005330382299423218,4785.569422483444,260000
19.77467,-11.042321,270.41736,664.02295,4.448358,-9.630632,0.08824938,1.0,150.00092,0.24880531,-7.5685997,0.054272905,1.0,3.7471812,-37.27308,-153.38582,6.062974,2.7751007,660.39667,4.5860147,-9.747332,0.11158945,1.0,175.2052,0.5284316,-7.6313105,0.06995058,1.0,0.44767106,-35.88692,-118.64859,5.824898,4.8822365,0.005332697248458862,4812.232915639877,265000
15.421003,-10.31436,277.15524,661.90686,4.2661777,-9.621212,0.086365454,1.0,139.48463,0.3826338,-7.5628057,0.05282434,1.0,17.170513,-34.018,-167.60985,5.256237,2.7398067,665.1718,4.3164616,-9.73004,0.10813105,1.0,164.21147,0.437733,-7.6518517,0.07508591,1.0,19.953115,-35.555874,-113.03419,5.867617,5.440691,0.005311468744277954,4838.7902665138245,270000
7.266482,-13.711559,230.29915,652.92004,4.3766174,-9.611,0.08432295,1.0,161.36835,0.37514004,-7.558074,0.05164145,1.0,0.41980845,-36.153225,-187.35234,5.6241074,2.9354062,675.6753,4.384573,-9.723988,0.10692059,1.0,171.05829,0.49328145,-7.660583,0.07726872,1.0,16.649847,-36.459347,-116.05417,6.0446205,7.053018,0.0053100972175598145,4865.340758800507,275000
8.576267,-15.573943,305.573,657.25287,4.6274443,-9.555783,0.07327946,1.0,171.37022,0.3666973,-7.558403,0.051723767,1.0,18.604883,-34.678776,-134.01176,5.476636,3.5306325,640.7006,3.8139172,-9.674401,0.097003214,1.0,152.25882,0.3830214,-7.6716537,0.08003646,1.0,15.740495,-36.327145,-106.122635,5.9980283,4.9548054,0.005293071937561035,4891.806125640869,280000
9.895592,-14.05055,258.76944,673.423,4.313081,-9.572406,0.07660407,1.0,155.70317,0.42867163,-7.5693946,0.054471634,1.0,1.7313869,-37.55746,-167.08061,6.093902,3.1542854,665.4983,4.805222,-9.667688,0.09566062,1.0,182.65993,0.5177499,-7.6712513,0.07993592,1.0,4.047236,-36.929943,-109.75931,6.3089933,7.337397,0.005293932771682739,4918.275796175003,285000
29.237356,-10.997855,333.03873,649.3314,4.1150346,-9.590229,0.08016873,1.0,166.08286,0.48673493,-7.555208,0.050924912,1.0,0.21860315,-35.788662,-175.29942,5.895397,3.7861874,636.56104,4.1890597,-9.6711445,0.09635188,1.0,186.36418,0.56104565,-7.6493406,0.07445818,1.0,0.1229536,-37.043915,-117.9678,6.1757917,7.954267,0.005313276720046997,4944.842186450958,290000
12.111048,-10.598429,224.68936,637.5606,4.071289,-9.591351,0.08039321,1.0,142.96542,0.42407632,-7.561092,0.052395903,1.0,0.67535174,-35.20386,-174.52847,5.973998,3.3612168,657.7173,4.569968,-9.714483,0.10501965,1.0,151.91042,0.30956843,-7.647863,0.07408865,1.0,0.41924882,-35.207165,-112.16196,5.8893785,3.7429075,0.005312915897369385,4971.406774520874,295000
15.531202,-9.317315,271.1518,651.13074,4.2994437,-9.567599,0.07564273,1.0,162.2894,0.46190488,-7.5570536,0.05138641,1.0,17.01522,-36.58435,-204.75014,5.9083223,4.3865995,660.64124,4.481324,-9.636538,0.08943047,1.0,162.0079,0.42499626,-7.6808724,0.08234097,1.0,13.670437,-35.262413,-104.10369,6.03712,4.162255,0.005295501327514648,4997.8842878341675,300000
13.820149,-18.357542,296.74008,646.3749,4.4992876,-9.627292,0.08758141,1.0,140.24548,0.35747236,-7.5689044,0.05434907,1.0,0.37854725,-37.84242,-177.07724,6.1329074,3.9068668,667.1353,4.6076803,-9.692491,0.10062108,1.0,171.55331,0.46617275,-7.6826963,0.08279704,1.0,0.46268538,-35.798298,-104.85213,6.0626054,5.384633,0.16295380964279174,5812.653342723846,305000
5.0958204,-9.801809,205.1654,648.8339,4.50897,-9.591583,0.08043971,1.0,149.32927,0.38512242,-7.564493,0.053246237,1.0,3.5216637,-36.982033,-179.98438,5.923176,2.7552114,634.2843,4.2384405,-9.703384,0.102799915,1.0,141.71161,0.30047154,-7.655157,0.07591228,1.0,1.2550393,-33.803913,-107.710625,5.811548,6.3447967,0.005272759056091309,5839.017145395279,310000
