training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.7133617,0.015370889,-2.1467972,0.65551347,-1.4367237,63.05377,0.15741909,-15.257858,-23.837414,0.11818217,5.5700903,0.04590866,-2.0854807,0.12211733,-15.585513,-23.874865,0.08780305,0.12714032077789306,635.7016334533691,5000
11.568501,0.14731337,-2.1929371,2.0306048,-1.9534613,132.35574,-0.005715048,-21.792551,-45.92253,0.17104718,9.094332,0.15759948,-2.0798862,0.014528811,-21.463388,-45.84474,0.16671674,0.009797629070281982,684.689789056778,10000
9.414156,0.25170636,-1.9996399,1.2545598,-1.4800946,124.36282,0.0123430975,-25.080894,-63.918076,0.25327978,8.638994,0.1251449,-2.1286376,0.04625021,-24.425512,-63.83911,0.2694492,0.00846106309890747,726.99511551857,15000
14.314107,0.18358916,-2.120522,4.600264,-3.0452714,246.59764,0.068489894,-25.967909,-71.61153,0.26170808,9.82066,0.1615032,-2.0517485,0.085509285,-25.483463,-74.70561,0.29450512,0.008549424123764039,769.7422471046448,20000
12.780464,0.17532782,-2.079102,2.2340598,-2.253081,191.35727,-0.0025458448,-27.060516,-81.057236,0.22813529,17.643677,0.120356634,-2.1830978,0.007658586,-22.307213,-81.19873,0.28585052,0.00841002802848816,811.7924025058746,25000
8.128662,0.08435125,-1.93641,3.9869754,-4.8889313,214.53503,0.102463774,-27.796242,-83.01099,0.33171007,12.029181,0.108152345,-1.9921048,0.11645781,-26.496635,-74.53144,0.29844308,0.008324881315231323,853.4168183803558,30000
8.654547,0.14254075,-2.0637822,2.530501,-2.891894,179.58173,0.032125965,-26.985682,-86.62808,0.40247363,8.455635,0.048992936,-2.0886385,0.025649827,-28.45493,-87.348495,0.4467134,0.008435180521011353,895.5927393436432,35000
7.9312005,0.059881642,-1.9974499,2.9864144,-2.4876664,160.46515,0.012736242,-27.113514,-70.88489,0.26425081,9.575687,0.17913517,-1.9859301,0.018135775,-27.30782,-74.80803,0.24055758,0.008346249628067017,937.3240067958832,40000
13.12134,0.17742223,-1.9734404,1.7546985,-1.67971,103.15858,0.010881148,-25.237282,-67.92377,0.23297554,11.9329605,0.0840863,-1.9359101,-0.018663403,-28.456705,-80.976654,0.247037,0.008286438703536987,978.7562141418457,45000
11.4195595,0.18958671,-1.9679518,3.38899,-3.1217647,208.35968,-0.03633505,-27.103344,-80.27217,0.21989602,9.714874,0.17243847,-1.9672872,-0.030078497,-26.29345,-74.661514,0.24724662,0.008280236387252808,1020.1574070453644,50000
10.130852,0.07719158,-2.1372094,2.5820105,-2.5516086,200.55469,0.012706209,-30.29955,-74.57672,0.21618773,11.496622,0.15952608,-2.0215454,0.021972477,-29.07403,-91.348045,0.25757217,0.0082745041847229,1061.5299444198608,55000
7.4602814,0.13510075,-1.9325747,1.8942732,-1.7565479,124.46087,-0.014530815,-27.408209,-81.18139,0.19945203,7.0973864,0.1472789,-1.8558074,-0.02179243,-32.397377,-71.89495,0.21724364,0.00828772702217102,1102.968595981598,60000
12.075155,0.14379013,-1.9887207,2.0223632,-2.0245078,159.78046,-0.036063425,-30.085209,-73.22071,0.20644826,9.336472,0.15735382,-1.9939992,-0.010606211,-30.33009,-78.487724,0.26796895,0.008464470148086548,1145.2909586429596,65000
8.506027,0.12566102,-2.046152,1.9633801,-1.8380169,134.27014,-0.0026623607,-29.33282,-73.28597,0.2008408,9.732016,0.10204381,-2.0235195,-0.01882939,-27.693445,-81.78296,0.37796053,0.008410693836212159,1187.3444406986237,70000
10.740133,0.13675942,-1.9555221,4.1099234,-3.1864188,231.99031,0.015432965,-30.341793,-74.701584,0.26395768,12.469624,0.11166589,-1.9377654,-0.0041074343,-27.807135,-70.50767,0.2389135,0.008351212549209595,1229.1005144119263,75000
8.391991,0.12513521,-1.9895756,2.664507,-2.1040878,168.62279,0.013024744,-30.025068,-78.908714,0.41829494,10.861893,0.13304967,-1.9629614,-0.013455957,-29.518478,-74.09964,0.22279873,0.008303722524642945,1270.6191430091858,80000
8.825451,0.21500184,-1.8920968,3.325437,-3.3022423,202.6115,0.028077513,-30.724047,-77.105965,0.28242743,9.738392,0.13195154,-1.9646292,0.017218437,-30.869213,-74.14505,0.21888739,0.00829073748588562,1312.0728454589844,85000
12.127467,0.11125147,-2.0283432,1.8362353,-4.580583,146.9605,0.007865988,-30.33004,-71.15805,0.20938705,9.757454,0.10302512,-1.9728097,0.0065025613,-29.998287,-73.00934,0.3174423,0.008440873432159424,1354.277226448059,90000
9.063531,0.1503506,-2.0027792,3.8128712,-3.746053,129.29572,0.09597923,-30.13791,-74.40494,0.18542722,9.65287,0.2251983,-1.942845,0.081068836,-28.968182,-72.89742,0.1881083,0.00829977855682373,1395.7761397361755,95000
9.538227,0.081145406,-2.0324523,3.6394558,-3.9728775,169.34067,0.006671261,-30.97601,-79.13934,0.19925943,8.137602,0.14088786,-1.9141792,-0.025697507,-29.550354,-73.28794,0.20549594,0.008330893278121948,1437.4306230545044,100000
9.51994,0.23597443,-1.8535147,1.5023446,-2.1298673,134.51715,0.030742548,-29.880154,-75.48207,0.17179671,10.627047,0.10887954,-2.0186672,0.042295557,-28.400537,-71.16593,0.18368194,0.12468763709068298,2060.868822813034,105000
