training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
44.803844,-0.91106355,-1.8283473,0.9993286,0.95703125,0.0030045887,-17.269634,-17.35086,3.4439664,11300.04,390.64032,4.0928398e-07,3.1852033,-4.6588697,187.95102,0.9992676,0.96875,0.0026806295,-17.085934,-17.165382,3.1734014,146544.77,893.39874,2.8795273e-05,54.122913,-1.2458729,-1.7712586,0.9972687,0.65625,0.01536391,-17.232952,-17.291016,-2.4262505,2541.1042,32.30902,2.5405786e-08,0.99690247,0.58984375,0.016445538,-16.75016,-16.804384,-2.9229164,14612.882,79.001236,1.4455246e-09,0.014748319101333618,1385.4577107429504,55000
30.382523,-1.1478329,-1.7177162,0.9996643,0.984375,0.0014076266,-17.199087,-17.281012,3.6920443,33587.117,478.57443,0.0017722836,4.0673723,-5.7078714,165.88388,0.9996643,0.984375,0.0012285415,-16.771656,-16.852165,3.7581925,63581.492,706.7511,0.009092357,37.52883,-1.6037848,-1.7192535,0.997406,0.6640625,0.015050301,-17.054798,-17.11302,-2.2081683,7144.4985,59.891068,1.5101986e-11,0.99710083,0.59375,0.015437208,-16.657318,-16.713419,-2.3516672,157909.3,662.71344,2.1954334e-10,0.014731228256225587,1459.1138632297516,60000
33.65361,-1.5252259,-1.7216175,0.999588,0.9765625,0.0019334748,-16.845106,-16.925629,3.6886816,48498.098,727.6365,3.4927183e-05,4.596946,-5.0429254,235.5997,0.9993439,0.98046875,0.0019092343,-16.801737,-16.883,3.9204245,64249.85,948.69855,0.0008765487,38.14733,-1.7773885,-1.7796657,0.99760437,0.68359375,0.014364108,-16.695171,-16.752645,-2.0392091,30918.307,155.31145,2.5334979e-09,0.9973297,0.64453125,0.014569538,-16.77465,-16.833282,-1.8229359,149144.11,712.55914,2.972035e-11,0.01473238582611084,1532.7758054733276,65000
41.39029,-0.95074713,-1.7391884,0.999527,0.9765625,0.0020722658,-17.023731,-17.105934,3.9388716,36278.5,685.5659,5.590212e-05,4.0648603,-4.96437,233.43011,0.9994049,0.95703125,0.0020840894,-17.418621,-17.501465,3.707145,11920.001,520.8783,0.0014446814,36.08278,-1.4476914,-1.7042227,0.99739075,0.67578125,0.015363063,-17.170813,-17.229727,-2.1471837,43987.63,167.38847,3.171318e-09,0.9972687,0.640625,0.016020834,-17.107763,-17.164976,-2.518056,4123.274,78.099884,6.378997e-10,0.014807554292678833,1606.8135876655579,70000
30.988623,-1.2836118,-1.7479749,0.99961853,0.96484375,0.0018520548,-17.19714,-17.279818,3.885243,139480.12,945.5989,0.00089762424,3.1759896,-4.8370132,199.43759,0.9993439,0.9453125,0.0020166142,-17.169334,-17.252645,4.0755115,545382.06,2656.1292,0.00055155024,44.326195,-1.2939941,-1.7031159,0.99739075,0.62890625,0.01720757,-16.995342,-17.05101,-2.7995028,3559.4678,77.41453,9.655252e-11,0.99723816,0.63671875,0.016853102,-17.010954,-17.066309,-2.8947785,1285.7386,32.56454,7.584173e-12,0.014704912042617799,1680.3381605148315,75000
38.241997,-0.7698811,-1.620661,0.99938965,0.953125,0.0026849317,-17.422344,-17.506367,4.004018,38042.61,653.99603,9.415808e-05,4.0502167,-4.2633333,232.13554,0.9992523,0.94921875,0.0026446707,-17.350567,-17.434593,4.0756354,41031.805,677.52246,0.0017654018,34.358208,-1.5924901,-1.6308892,0.9974518,0.6796875,0.016595969,-17.50317,-17.56036,-2.9197962,17193.273,82.36683,2.6679032e-11,0.99731445,0.60546875,0.016478136,-17.523563,-17.581173,-2.8329196,10554.837,121.63559,3.1748042e-09,0.014761931800842286,1754.1478304862976,80000
32.58187,-1.3233037,-1.6023307,0.9994507,0.953125,0.00281133,-17.37595,-17.458738,3.735674,74761.14,995.6981,3.593777e-05,3.5566916,-5.4798517,262.8448,0.99928284,0.953125,0.0024405136,-17.322384,-17.404373,3.5846982,21414.953,538.40625,2.6022697e-05,42.21756,-1.1844324,-1.6057218,0.997406,0.671875,0.015974024,-17.123676,-17.180208,-2.7077374,3280.1238,42.458244,1.8402688e-10,0.9972687,0.6171875,0.016495824,-17.001873,-17.057251,-2.8800242,1659.0834,37.668797,1.2658861e-09,0.014742774629592895,1827.8617150783539,85000
38.697296,-0.60199714,-1.6407317,0.9996643,0.98046875,0.0016342619,-17.278257,-17.361292,3.8962796,68122.945,689.5663,0.00090733124,4.9397864,-4.6445336,189.15402,0.99942017,0.953125,0.0019196525,-17.36108,-17.443933,3.766249,42400.395,693.98914,0.004599892,48.958275,-0.94652736,-1.6319194,0.9973297,0.6328125,0.018679218,-16.974644,-17.027407,-3.5197487,25097.455,107.12284,1.0494579e-10,0.9973755,0.58203125,0.018737018,-17.12476,-17.177818,-3.5941215,3100.7908,38.528915,4.368954e-11,0.014744646215438842,1901.5849566459656,90000
41.98735,-0.6617409,-1.6964992,0.999527,0.953125,0.0025555333,-17.710655,-17.79581,4.0042114,106576.89,855.4433,4.741617e-06,4.3712735,-4.3718443,241.15417,0.9994049,0.94921875,0.0023309225,-17.637844,-17.722334,3.9072585,16752.377,577.7033,1.8192317e-06,35.368176,-1.6981463,-1.499315,0.9973297,0.640625,0.017082538,-17.3135,-17.370228,-2.8477669,25685.373,201.00534,6.6240458e-09,0.99720764,0.6328125,0.016992772,-17.294348,-17.348997,-3.358077,9957.425,48.05312,1.985179e-11,0.014739728212356567,1975.2836072444916,95000
33.980053,-1.1678178,-1.6353414,0.999588,0.97265625,0.0018026794,-17.73887,-17.823847,3.9303553,33722.434,618.6248,0.00019937714,3.4095335,-3.8312428,200.72424,0.99949646,0.95703125,0.0018543589,-17.396833,-17.480165,3.8523934,38700.22,664.12415,3.075815e-05,28.612707,-2.1426497,-1.5461055,0.9971924,0.68359375,0.016742064,-17.532862,-17.590061,-2.946756,25413.525,80.872696,5.2801696e-10,0.9972687,0.671875,0.014812391,-17.105225,-17.163471,-2.2521687,2277.9265,43.556595,2.8239933e-09,0.014707656764984131,2048.8219091892242,100000
