training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
5.758208,-10.765874,201.03943,309.88235,1.6615555,-10.244082,0.21093957,1.0,148.81677,0.17056721,-7.8244133,0.11822634,1.0,0.11963206,-15.335571,-25.92551,0.4736963,2.054047,353.4661,2.071076,-10.382608,0.2386447,1.0,149.45557,-0.0034212917,-7.854204,0.12567401,1.0,0.100873694,-14.484372,-25.905537,0.42557943,2.254561,0.1627130932331085,813.5654776096344,5000
12.832717,-10.716486,315.50952,420.94598,2.5484924,-10.03381,0.16888487,1.0,169.18352,0.15019047,-7.7322235,0.0951788,1.0,0.13243547,-21.24739,-43.351658,0.23840429,3.2823644,430.32367,2.4080243,-10.226445,0.20741203,1.0,175.9344,0.011670165,-7.773942,0.10560843,1.0,0.1265114,-21.055578,-43.382732,0.23285306,3.108508,0.005959202003479004,843.3614964485168,10000
36.622944,-34.157112,428.0459,507.2343,2.6632655,-9.951653,0.15245353,1.0,178.01804,0.17882171,-7.688384,0.08421905,1.0,0.023328364,-24.87855,-56.733467,0.11464022,3.2491758,525.376,3.0628774,-9.916853,0.14549363,1.0,183.67905,0.17264406,-7.7287874,0.09431981,1.0,0.043261044,-24.675169,-56.826412,0.10029268,3.3654516,0.0061240920066833494,873.9819660186768,15000
19.160793,-20.15935,451.6218,564.79877,3.3989487,-9.868931,0.13590918,1.0,170.79071,0.13279527,-7.6929636,0.08536383,1.0,0.28750896,-27.786428,-67.119804,0.07298394,3.6926942,533.4175,2.7663136,-10.009335,0.16399007,1.0,189.58203,0.1690079,-7.7229652,0.09286428,1.0,0.18702644,-26.34303,-67.02486,0.06528476,4.840413,0.006118700790405274,904.5754792690277,20000
23.469978,-22.88414,433.712,528.7018,2.9396024,-9.887943,0.1397117,1.0,163.54681,0.18055674,-7.6659803,0.078618035,1.0,0.27837917,-26.729496,-74.68901,0.05192672,3.747515,556.24725,3.316056,-9.974291,0.15698119,1.0,187.24118,0.26647007,-7.698659,0.08678768,1.0,0.17409906,-28.429602,-74.65386,0.055016898,3.3848064,0.0061345442295074465,935.2482087612152,25000
17.63383,-10.974932,336.16968,558.6058,3.4679892,-9.879525,0.13802807,1.0,158.95181,0.15247166,-7.654536,0.07575694,1.0,0.18381935,-30.005,-80.58437,0.054442573,3.7048275,579.83264,3.6627054,-9.967093,0.1555417,1.0,169.16124,0.010686705,-7.6927023,0.08529858,1.0,0.16479161,-31.316349,-80.403404,0.053906776,3.4618676,0.006143707466125488,965.9667539596558,30000
26.682343,-24.788261,538.8656,542.06323,2.8704252,-9.9707775,0.15627836,1.0,199.47408,0.16945884,-7.660111,0.07715063,1.0,0.16020685,-29.545334,-84.672646,0.060892835,4.379375,592.09985,3.548137,-9.897813,0.14168556,1.0,192.47176,0.16999476,-7.6909866,0.084869586,1.0,0.123406686,-29.56288,-83.56074,0.056287125,5.226222,0.006144163417816162,996.687579870224,35000
9.49313,-8.887447,341.54404,575.78516,3.2946754,-9.80308,0.122738816,1.0,171.81206,0.21778756,-7.6503477,0.074709795,1.0,0.035883658,-32.48634,-88.19632,0.063901246,3.0659003,584.74133,3.5179513,-9.880438,0.13821052,1.0,179.42757,0.3466431,-7.698802,0.08682362,1.0,0.06392919,-31.042227,-88.66387,0.058333293,3.3690944,0.0061019786834716795,1027.1974818706512,40000
14.881909,-13.763359,371.55563,565.96704,3.3096786,-9.897697,0.1416624,1.0,167.86804,0.21096176,-7.643126,0.07290446,1.0,0.1258005,-32.03227,-90.97909,0.060356963,3.8908472,573.52966,3.018758,-9.963005,0.15472405,1.0,169.73055,0.24975714,-7.7076225,0.08902854,1.0,0.12387713,-31.79184,-90.07108,0.061704144,5.3152337,0.0061002534866333,1057.6987574100494,45000
18.01701,-16.510036,434.29004,558.5781,3.4058437,-9.891449,0.14041267,1.0,170.72495,0.24412097,-7.652774,0.07531644,1.0,0.014516346,-33.097042,-93.49294,0.063594595,4.856861,593.9896,3.2786107,-10.055422,0.17320745,1.0,188.7478,0.23123036,-7.701715,0.08755175,1.0,0.053831153,-31.774847,-93.409744,0.061312914,6.01607,0.006114724016189575,1088.2723865509033,50000
19.834906,-16.394217,372.35773,577.08075,3.4308984,-9.74374,0.11087086,1.0,134.76114,0.15170656,-7.6405725,0.07226603,1.0,0.20960173,-33.68206,-95.413086,0.06266748,3.022615,586.603,3.391491,-9.924349,0.14699271,1.0,156.2476,0.27129623,-7.684635,0.08328177,1.0,0.036859177,-32.59512,-95.4889,0.06212067,3.5681026,0.006103573560714721,1118.7902612686157,55000
25.93782,-17.41554,564.25415,581.51843,3.5115304,-9.815195,0.12516217,1.0,150.01419,0.14774084,-7.64045,0.072235405,1.0,0.15428536,-31.31781,-96.16964,0.06136029,6.6853347,613.18304,3.9025068,-9.813671,0.124857225,1.0,165.58366,0.28956193,-7.6950936,0.085896306,1.0,0.10679225,-32.892353,-96.34448,0.059239097,3.7815886,0.0061015946865081785,1149.2982439994812,60000
17.928858,-16.638147,401.77182,570.50183,3.2818658,-9.809012,0.12392546,1.0,160.86496,0.237204,-7.6410346,0.07238162,1.0,0.09253749,-34.05392,-97.27911,0.06041752,3.2121243,573.9396,2.9270654,-9.993191,0.16076103,1.0,176.57089,0.2666895,-7.7100153,0.089626774,1.0,0.08648784,-33.932674,-97.59625,0.060262114,3.2977784,0.006107683753967285,1179.836671590805,65000
22.121136,-22.55239,460.53815,575.7479,3.3316314,-9.83407,0.12893699,1.0,164.2002,0.29039398,-7.6245527,0.0682612,1.0,0.1501638,-34.982494,-98.376,0.057719037,4.626752,619.1898,3.7270143,-9.877865,0.13769594,1.0,179.37485,0.21659935,-7.6881585,0.08416259,1.0,0.1817854,-33.69032,-97.70277,0.05894267,2.912671,0.006102755498886108,1210.3504581451416,70000
27.790127,-23.175282,466.62195,583.3137,3.54814,-9.944927,0.15110837,1.0,192.93549,0.33670276,-7.6304665,0.0697397,1.0,0.19247954,-34.241,-98.61618,0.056060486,4.609413,584.3915,3.4906058,-10.042061,0.17053507,1.0,201.56177,0.2659994,-7.6924553,0.08523667,1.0,0.14200386,-32.83218,-99.295975,0.05462645,3.5637481,0.00610114598274231,1240.8561975955963,75000
16.666523,-13.182829,353.65652,567.5547,3.5895338,-9.846679,0.1314587,1.0,165.0867,0.28387433,-7.6189094,0.06685035,1.0,0.11848141,-35.288,-99.410675,0.05356159,3.6535459,594.0755,3.6693642,-9.95714,0.15355091,1.0,162.6063,0.2789628,-7.668876,0.0793419,1.0,0.10487248,-32.296276,-98.47552,0.05195583,4.0885253,0.006104632949829101,1271.3793723583221,80000
24.270107,-19.598724,378.8232,589.2017,3.717703,-9.8133545,0.12479395,1.0,156.98187,0.29939717,-7.626263,0.06868882,1.0,0.062382348,-34.712406,-99.57078,0.05081544,4.468802,584.43896,3.306487,-10.02817,0.16775703,1.0,161.3851,0.1476977,-7.6871853,0.08391933,1.0,0.21493535,-34.886936,-98.09408,0.05210702,4.080181,0.006102286052703857,1301.890811920166,85000
