training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
101.821754,0.10720767,-4.663732,0.027615828,1.0,1.211647,-0.34451234,10.831669,0.60602957,-15.424984,-25.823448,0.10383195,105.515236,0.10038419,-4.673298,0.031442046,1.0,0.8217324,-15.866565,-25.792511,0.12062745,0.15116618223190306,755.8309636116028,5000
139.64566,0.11594871,-4.6571503,0.02498301,1.0,2.1161144,-0.7783507,14.808648,0.5719583,-24.18004,-44.28499,0.13078041,138.70427,0.13650054,-4.658661,0.025587393,1.0,0.5825093,-24.157349,-43.765694,0.14328736,0.002463377571105957,768.1478843688965,10000
175.28961,0.14944595,-4.659707,0.026005803,1.0,0.8285729,-0.6036469,17.538635,0.4491173,-27.78508,-58.83415,0.30681226,162.52634,0.13539109,-4.6600037,0.026124418,1.0,0.8041951,-28.361607,-58.50367,0.42972246,0.002512032079696655,780.7080817222595,15000
192.82114,0.14631486,-4.6530733,0.02335218,1.0,0.5101108,-1.8320875,15.696151,0.6210165,-31.695597,-69.21355,0.21162316,195.26501,0.16686174,-4.6560946,0.024560792,1.0,0.66114914,-31.477032,-68.941345,0.21500334,0.0025493156433105467,793.4546880722046,20000
196.57983,0.102741875,-4.650395,0.022280892,1.0,1.0910335,-2.7626579,21.004864,0.55585325,-32.342705,-77.83302,0.3437736,203.17038,0.18063626,-4.6497536,0.022024361,1.0,0.4958892,-33.265427,-76.57686,0.3345514,0.0026754688262939454,806.8320798873901,25000
211.23926,0.21596801,-4.650942,0.022499662,1.0,1.3663417,-1.7500432,20.347956,0.84139824,-31.485035,-82.854614,0.30658284,196.54712,0.16312255,-4.651518,0.022730153,1.0,0.8472364,-33.6085,-82.213585,0.22481227,0.002615704393386841,819.9106388092041,30000
193.73938,0.1669933,-4.6511297,0.022574743,1.0,0.748821,-0.9372712,16.936222,0.6104647,-34.404266,-85.87599,0.29082006,200.69855,0.2276615,-4.6492095,0.021806825,1.0,0.5367607,-34.265465,-83.03366,0.27130145,0.0024053019046783447,831.9371786117554,35000
202.47589,0.14917332,-4.647902,0.021283811,1.0,0.8064759,-0.70993966,16.535187,1.8720388,-34.97152,-86.928505,0.2734176,208.36557,0.2174817,-4.6510544,0.022544617,1.0,0.5428071,-35.453102,-86.73566,0.23158257,0.002404266881942749,843.9585404396057,40000
192.76498,0.15646279,-4.6500006,0.022123193,1.0,1.3565838,-0.6125214,26.005543,1.0462143,-34.620724,-90.582245,0.34355146,199.602,0.19213715,-4.654705,0.024004882,1.0,0.5542872,-37.757385,-88.12593,0.3205271,0.002400206136703491,855.9596061706543,45000
194.79594,0.17980275,-4.6546593,0.02398664,1.0,1.2466035,-1.4102461,21.813564,0.451131,-36.549103,-91.088196,0.2714806,191.15317,0.15914881,-4.653224,0.02341261,1.0,1.2928061,-35.516617,-91.15138,0.18027392,0.0024208534717559817,868.0639052391052,50000
204.01936,0.21594608,-4.6464915,0.020719571,1.0,1.2762048,-0.96074814,23.51414,0.6388863,-37.376423,-92.49524,0.3877329,202.306,0.19713493,-4.6572084,0.02500636,1.0,0.5493442,-36.55495,-91.06448,0.2332297,0.0024066471099853516,880.0971744060516,55000
192.25665,0.15331043,-4.648716,0.021609206,1.0,0.4687448,-1.5546519,23.651548,0.61672235,-37.63866,-92.98183,0.29887003,196.36842,0.16642994,-4.650429,0.022294626,1.0,0.7626976,-36.97477,-92.78786,0.2024181,0.0024259117126464846,892.226761341095,60000
188.06554,0.11447434,-4.646771,0.02083123,1.0,1.1063395,-1.4906678,20.76857,0.47208,-36.6961,-94.42021,0.28738135,194.04095,0.16527387,-4.64651,0.02072682,1.0,0.49404234,-38.13404,-93.613625,0.20872313,0.0024934182643890383,904.6938848495483,65000
190.73112,0.1459122,-4.645847,0.020461714,1.0,0.45320708,-1.2123148,19.115679,0.43597925,-36.930992,-94.860275,0.24003282,197.04474,0.19311512,-4.6473103,0.021047235,1.0,0.62878644,-38.651474,-94.20311,0.33894312,0.0024902580738067628,917.1452054977417,70000
201.15126,0.18651614,-4.642056,0.018945439,1.0,0.85124904,-1.4402828,34.64174,0.57663465,-37.040783,-94.85037,0.4208417,214.67737,0.21710375,-4.6453295,0.020254686,1.0,0.5411448,-37.295216,-94.107216,0.28311586,0.0024083951473236084,929.1872119903564,75000
