training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
0.18739936,-0.17485139,6.939415,9.189372,-6.449409e-07,-9.189391,1.0952216e-06,1.0,1.6087544,-6.06291e-07,-1.6087575,-1.6690968,-1.6691101,-1.6691368,1.2763778,9.1894045,4.1350722e-07,-9.189393,1.620688e-06,1.0,1.7279134,6.714836e-07,-1.7279074,-1.6691337,-1.6691455,-1.6691741,1.1987728,0.018623935985565186,2079.019353866577,75000
0.19105807,-0.34519133,9.349207,9.189242,-5.6591816e-06,-9.189391,1.2749337e-06,1.0,1.6578618,-1.3158657e-05,-1.6578817,-1.6578696,-1.6582637,-1.6584681,1.2785704,9.188829,-2.0633917e-05,-9.189392,1.2596113e-06,1.0,1.7396021,-5.273614e-06,-1.7396514,-1.665624,-1.6659925,-1.6661818,1.0859351,0.018586302089691163,2171.9508759975433,80000
0.30229688,-0.21368253,8.108828,9.189385,-4.749745e-08,-9.189387,4.1756002e-07,1.0,1.6789047,-7.124618e-08,-1.6789048,-1.631359,-1.6313632,-1.6313666,1.3074678,9.189383,-1.3923272e-07,-9.189385,2.4886486e-07,1.0,1.5801407,-2.7008355e-07,-1.5801414,-1.6260064,-1.6260127,-1.6260173,1.2833855,0.018549764728546143,2264.69971203804,85000
0.97351825,-0.25978112,9.516032,9.189384,-6.3795596e-08,-9.189385,1.0131178e-07,1.0,1.5803094,2.7939677e-09,-1.5803095,-1.6599613,-1.659966,-1.6599686,1.1911023,9.189384,-4.0512532e-08,-9.189385,1.06008635e-07,1.0,1.6304245,7.450581e-09,-1.6304244,-1.6574993,-1.6575012,-1.6575041,1.2545872,0.01864489154815674,2357.92418050766,90000
0.14160189,-0.1587627,7.318184,9.189396,-1.0058284e-07,-9.189399,2.7126277e-06,1.0,1.6284647,-1.3550743e-07,-1.6284655,-1.6821618,-1.6821643,-1.6821666,1.2588074,9.189392,-2.3748726e-08,-9.189392,1.3559646e-06,1.0,1.6206123,-2.3283064e-08,-1.6206124,-1.6823559,-1.6823577,-1.6823606,1.3251173,0.018547267150878906,2450.6605253219604,95000
0.7315694,-0.21673444,9.257114,9.189384,-1.5366822e-08,-9.189385,7.5196986e-08,1.0,1.6303661,2.0954758e-08,-1.6303661,-1.7111781,-1.7111795,-1.7111818,1.1412632,9.1893835,-1.03376806e-07,-9.189385,2.7308292e-07,1.0,1.801184,-9.825453e-08,-1.8011847,-1.7115707,-1.7115724,-1.711575,1.1972792,0.018550523328781127,2543.4131519794464,100000
0.6096363,-0.22450554,10.041191,9.189385,-1.7695129e-08,-9.189385,4.9140308e-08,1.0,1.7531842,-7.916242e-09,-1.7531843,-1.6542666,-1.6542679,-1.6542691,1.2290307,9.189386,7.21775e-08,-9.189384,4.701884e-08,1.0,1.7356412,3.8649887e-08,-1.735641,-1.6543564,-1.6543577,-1.6543589,1.203741,0.13948370456695558,3240.8316838741302,105000
0.22147754,-0.5915516,8.232598,9.189388,3.7718564e-08,-9.189385,1.9093162e-07,1.0,1.5385679,1.4901161e-08,-1.5385678,-1.6809059,-1.6809068,-1.6809077,1.3086927,9.189387,-1.071021e-08,-9.189387,4.839357e-07,1.0,1.7340808,1.21071935e-08,-1.7340808,-1.6806991,-1.6807001,-1.6807013,1.2428358,0.021083865547180176,3346.2510256767273,110000
0.20632064,-2.1857896,11.694281,9.189389,-2.8405339e-08,-9.189391,1.0514526e-06,1.0,1.587105,-3.7252903e-09,-1.587105,-1.6897857,-1.6897866,-1.6897874,1.4214435,9.189386,7.916242e-09,-9.189385,2.4463262e-07,1.0,1.6577395,2.7008355e-08,-1.6577394,-1.6824546,-1.6824558,-1.6824567,1.3397819,0.01940821294784546,3443.2921063899994,115000
0.2658316,-1.8698909,12.196138,9.189386,1.1641532e-08,-9.189385,2.976794e-07,1.0,1.5815752,2.514571e-08,-1.5815749,-1.6692212,-1.6692221,-1.6692232,1.4237107,9.189386,9.313226e-09,-9.189385,2.0142875e-07,1.0,1.6306196,3.213063e-08,-1.6306195,-1.6666415,-1.6666422,-1.6666434,1.3202065,0.018644914770126343,3536.5166943073273,120000
0.30620766,-0.68853366,11.121897,9.189386,0.0,-9.189385,1.388235e-07,1.0,1.6492996,4.656613e-10,-1.6492999,-1.6879485,-1.6879492,-1.6879497,1.2241853,9.189385,-4.1909516e-09,-9.189385,8.216318e-08,1.0,1.5892148,-1.7695129e-08,-1.5892149,-1.6868877,-1.6868887,-1.6868894,1.3042641,0.01854965434074402,3629.2649862766266,125000
0.29401046,-0.6851946,9.319796,9.189386,2.0023435e-08,-9.189385,6.331975e-08,1.0,1.6266551,1.071021e-08,-1.626655,-1.7133287,-1.7133293,-1.7133298,1.301648,9.189384,2.0954758e-08,-9.189384,3.464989e-08,1.0,1.5320823,6.0535967e-09,-1.5320823,-1.7134441,-1.7134447,-1.7134454,1.3295758,0.01862580132484436,3722.3940069675446,130000
0.23951334,-0.22346243,9.278683,9.189386,2.7008355e-08,-9.189384,3.3063014e-08,1.0,1.6311767,5.122274e-09,-1.6311767,-1.6935837,-1.6935844,-1.6935854,1.2441533,9.189386,1.6763806e-08,-9.189385,1.2668961e-07,1.0,1.774255,9.313226e-09,-1.774255,-1.6957965,-1.6957967,-1.6957972,1.1764554,0.018633111000061035,3815.5595803260803,135000
0.27219036,-0.427939,9.046934,9.189384,5.5879354e-09,-9.189384,6.245699e-08,1.0,1.6576504,-3.7252903e-09,-1.6576504,-1.6676321,-1.6676328,-1.667633,1.2338884,9.189386,2.142042e-08,-9.189385,7.6222435e-08,1.0,1.7460228,3.4924597e-08,-1.7460227,-1.6651163,-1.6651168,-1.6651175,1.2211194,0.018640760278701783,3908.763396024704,140000
0.35154057,-0.32499003,8.146019,9.189385,2.2351742e-08,-9.189384,4.5980624e-08,1.0,1.6091511,2.3283064e-09,-1.6091511,-1.6366515,-1.636652,-1.6366527,1.2691636,9.189386,1.1641532e-08,-9.189385,1.2172227e-07,1.0,1.6963662,-5.122274e-09,-1.6963662,-1.6359044,-1.6359048,-1.6359053,1.2325381,0.01863501672744751,4001.9384937286377,145000
0.12361444,-0.34915853,7.6252594,9.189386,4.656613e-09,-9.189385,7.517217e-08,1.0,1.5212579,-2.6542693e-08,-1.5212579,-1.6716936,-1.6716942,-1.6716948,1.2844796,9.189384,-4.004687e-08,-9.189385,1.06502306e-07,1.0,1.570235,-5.075708e-08,-1.5702353,-1.6719928,-1.6719935,-1.6719941,1.1543176,0.01912415542602539,4097.559281349182,150000
0.31814378,-0.27771938,8.689917,9.1893835,-2.6542693e-08,-9.189384,6.6503574e-08,1.0,1.5690465,-8.381903e-09,-1.5690465,-1.6852322,-1.6852324,-1.6852334,1.2630007,9.189384,-3.259629e-08,-9.189384,2.3236897e-08,1.0,1.70556,-2.6542693e-08,-1.7055602,-1.683244,-1.6832447,-1.6832454,1.2498076,0.018664006757736207,4190.879328489304,155000
0.3284614,-0.13855326,7.300665,9.189386,-1.071021e-08,-9.189385,9.1337874e-08,1.0,1.6102487,-1.44355e-08,-1.6102488,-1.7027657,-1.7027664,-1.7027671,1.2176827,9.189385,-1.6298145e-08,-9.189385,7.5785564e-08,1.0,1.708035,-2.7008355e-08,-1.7080352,-1.7024648,-1.7024653,-1.702466,1.3816123,0.01855264801979065,4283.642578840256,160000
0.3108672,-0.41360518,10.181742,9.189384,1.2572855e-08,-9.189384,4.3864244e-08,1.0,1.8048286,-1.3969839e-09,-1.8048286,-1.6807145,-1.6807153,-1.680716,1.2744269,9.1893835,-1.9092113e-08,-9.189384,2.9976622e-08,1.0,1.6665242,-3.7252903e-09,-1.6665242,-1.6824381,-1.6824386,-1.6824391,1.2215531,0.019861045551300048,4382.9478187561035,165000
0.7470206,-0.34203058,11.182062,9.189384,-9.778887e-09,-9.189384,2.4819114e-08,1.0,1.5531687,-3.259629e-09,-1.5531685,-1.6547728,-1.654773,-1.6547734,1.2079713,9.189385,3.7252903e-09,-9.189385,7.5532576e-08,1.0,1.7051942,-5.122274e-09,-1.7051941,-1.6560465,-1.6560469,-1.6560473,1.3975339,0.01888018217086792,4477.348751306534,170000
0.6715873,-0.2299015,10.313982,9.189386,4.656613e-10,-9.189385,9.774589e-08,1.0,1.5721772,5.5879354e-09,-1.572177,-1.697342,-1.6973424,-1.6973426,1.1817876,9.189384,-5.5879354e-09,-9.189385,8.410844e-08,1.0,1.6333185,-9.313226e-10,-1.6333185,-1.7011129,-1.701113,-1.7011137,1.249861,0.01895591387748718,4572.128340482712,175000
