training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/v_std_across_heads,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/v_std_across_heads,validation/value/value_loss,time/epoch_time,time/total_time,step
79.85675,-128.05327,1439.4993,259.19287,1.0421947,-12.129303,0.58798355,1.0,28.065645,0.23138191,-2.173756,0.3358789,1.0,0.40850186,-11.360021,-27.37643,0.73941344,1.8137017,273.0846,1.2471209,-12.40696,0.64351493,1.0,25.477346,0.3250871,-2.1584625,0.32058543,1.0,0.3130529,-11.563849,-27.36823,0.69504654,2.0326087,0.3106627132892609,1553.3135993480682,5000
244.615,-268.71533,3510.7727,324.54584,2.1550517,-12.560644,0.67425185,1.0,36.47631,0.30654967,-2.1627975,0.32492048,1.0,1.6424167,-21.497528,-46.730427,0.96106863,2.8413954,328.54294,2.516779,-12.441285,0.65037996,1.0,40.871025,0.4555346,-2.1366208,0.2987438,1.0,1.1620097,-21.61862,-46.39524,0.934415,2.3939896,0.00520137448310852,1579.3204848766327,10000
34.851295,-58.885193,659.2431,440.01617,3.2109098,-11.469552,0.45603338,1.0,40.742134,0.37757766,-2.1894927,0.3516156,1.0,0.5794235,-24.290985,-62.739937,1.6039941,3.1246052,418.18494,3.0034418,-12.128829,0.58788866,1.0,35.42428,0.4023697,-2.158583,0.32070583,1.0,0.9412092,-26.535263,-62.63122,1.6558665,2.0659163,0.005232755661010742,1605.4842700958252,15000
14.644101,-27.02879,410.1961,415.47278,2.5996206,-11.776056,0.5173343,1.0,41.66901,0.4676233,-2.1652367,0.32735968,1.0,0.49113405,-25.039238,-76.40625,1.7233467,1.6775714,440.4379,3.3779774,-11.653204,0.49276382,1.0,40.854446,0.48652232,-2.165676,0.32779893,1.0,0.5993521,-28.317602,-77.043434,1.7741578,1.1420387,0.005209991121292114,1631.5342423915863,20000
132.17674,-144.23059,1752.2119,422.91034,3.4259386,-11.990353,0.5601936,1.0,53.100708,0.6467681,-2.160337,0.32245976,1.0,1.582799,-30.630762,-85.87078,2.2621639,6.236301,439.44702,3.2413087,-12.052834,0.5726897,1.0,52.646515,0.62076116,-2.1781464,0.3402694,1.0,1.8557417,-32.39743,-85.755844,2.1558697,3.8606613,0.005218461227416992,1657.6265580654144,25000
135.0485,-161.02594,1537.792,424.26282,3.0115728,-12.0167675,0.56547636,1.0,28.361378,0.3828135,-2.1533198,0.315443,1.0,1.1332896,-29.581427,-94.981255,2.652122,6.582376,440.89703,2.7997365,-12.174768,0.59707683,1.0,28.542892,0.43784848,-2.1517715,0.3138944,1.0,1.1136184,-31.43344,-94.98968,2.6295843,5.659729,0.005249880218505859,1683.8759727478027,30000
14.011105,-19.968819,445.30756,395.61572,2.680507,-11.345241,0.43117124,1.0,31.287632,0.46165833,-2.1467564,0.30887944,1.0,1.0922478,-26.302267,-100.24909,2.3081765,3.4785147,459.8219,3.217053,-11.554732,0.47306934,1.0,30.156998,0.42957243,-2.1436205,0.30574352,1.0,1.2534161,-29.662292,-101.70898,2.2266092,3.283009,0.0052568015098571775,1710.159988641739,35000
19.847008,-25.711514,386.38885,430.06805,3.3947897,-11.268274,0.4157779,1.0,33.963097,0.4462502,-2.1352968,0.29741997,1.0,0.60935706,-31.581623,-103.413635,2.4923863,2.915104,458.67957,3.2427132,-11.399574,0.4420378,1.0,37.74928,0.5091107,-2.1448922,0.30701503,1.0,0.6532951,-30.624353,-103.63343,2.2959971,2.4764993,0.005223872661590576,1736.2793653011322,40000
31.070429,-26.76878,502.25385,458.4491,3.0676172,-11.744383,0.5109994,1.0,40.49754,0.43243018,-2.1352181,0.29734114,1.0,2.623489,-28.327017,-104.15839,2.0709805,1.712522,461.5326,3.07238,-11.533017,0.4687263,1.0,42.675884,0.52744716,-2.1338704,0.29599357,1.0,1.4479387,-32.22752,-102.813705,2.3464198,2.221187,0.005220899152755737,1762.383870601654,45000
19.445177,-25.21853,417.9362,482.39172,3.4826033,-11.578537,0.47783032,1.0,39.02884,0.44315076,-2.1397386,0.30186152,1.0,0.7652966,-30.563812,-96.454414,2.357718,2.1496017,486.84222,3.4700446,-11.524779,0.46707878,1.0,39.21722,0.4816176,-2.1432662,0.3053891,1.0,0.7658559,-32.11104,-104.44841,2.3290834,2.4718606,0.0052960544109344485,1788.864150762558,50000
