training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
17.803333,0.029909149,-1.838248,99.43503,-67.37526,1783.9358,443.56372,227.70639,57.724754,0.0770063,0.019166123,2.2101042,0.75744045,0.039068747,286.50647,8.8341055,457.88904,449.05493,18.992188,0.18792945,-1.9132321,450.38837,214.52873,50.807182,0.6701169,0.03924758,2.928138,0.8171259,0.025761517,286.47314,3.0802798,464.71204,461.63174,0.01239493980407715,1468.8328609466553,70000
23.839088,0.2601567,-1.8239478,290.40887,-147.6745,3388.0798,426.61908,367.23615,75.32625,3.4340417,0.046388373,2.8798618,0.86947703,0.026958546,286.49783,1.0347236,440.94397,439.90924,20.910503,0.101791345,-1.8552048,422.6604,395.96704,79.53407,0.42728403,0.09337909,4.233553,0.8466876,0.0185297,286.50183,-12.428188,436.98547,449.41367,0.01240459861755371,1530.8558661937714,75000
20.863125,0.2161903,-1.8546255,369.1522,-262.59293,5776.264,428.73956,294.05225,72.87732,6.342836,0.0741193,3.3336916,0.8661554,0.035955094,287.6931,-6.9389563,443.1242,450.06317,22.009748,0.24505135,-1.7532662,432.49814,270.19638,69.03874,2.7140522,0.049420334,2.5298636,0.85984176,0.0030960296,287.68817,0.16676316,446.88254,446.7158,0.01247662262916565,1593.2389957904816,80000
20.89207,0.19003513,-1.7861142,466.72772,-516.49316,6715.0166,433.23682,422.3902,68.79492,0.85514313,0.046667278,3.1082811,0.8094561,0.04622794,289.92294,0.96623284,447.73297,446.76672,15.620233,-0.027691755,-1.831608,431.1487,365.34555,70.63269,0.42280278,0.040857423,3.3858118,0.78804266,0.018955322,289.92114,2.6506267,445.64478,442.99414,0.012595540523529052,1656.216706752777,85000
24.3927,0.11452857,-1.829664,244.62122,-358.66684,4150.236,425.2807,359.9302,76.86901,4.5732374,0.041937154,2.9800336,0.844612,0.03884057,294.08252,2.3711424,439.98483,437.61368,22.276518,0.21250701,-1.779654,420.72946,443.41418,81.71471,2.6612191,0.09473106,3.8935254,0.8816422,0.01840132,294.0728,-13.154189,435.4331,448.58728,0.0124079487323761,1718.2564685344696,90000
17.767859,0.19781765,-1.7992303,152.12968,-226.30464,2269.8794,436.69653,364.5056,64.943344,1.2703176,0.014697716,2.095685,0.7918903,0.020193543,297.74008,10.510905,451.58353,441.07263,19.251942,0.1904077,-1.7599796,434.99377,343.9848,66.66414,5.4850225,0.01651967,2.2475545,0.7828882,0.048420776,297.7311,9.968136,449.88034,439.9122,0.012403078699111938,1780.2718784809113,95000
20.464638,0.1200757,-1.8660468,884.1454,-864.7575,11353.297,421.6995,450.14047,81.04089,2.0951324,0.040099826,2.6363719,0.8162712,0.036820795,295.26096,2.923135,436.46252,433.5394,19.895279,0.11951971,-1.6728628,426.4868,403.943,75.809425,3.03935,0.11078711,4.209213,0.92507935,0.034715753,295.2763,-17.948992,441.25058,459.1996,0.012404142236709595,1842.2926015853882,100000
19.346981,0.11030488,-1.7025399,333.36057,-600.67847,6212.965,426.51202,450.2456,75.72133,3.0647528,0.02292376,1.9543839,0.8456174,0.043063402,298.5628,8.083959,441.44016,433.3562,19.305864,0.2704243,-1.7380905,429.71545,414.01407,72.318245,2.1018326,0.023043275,2.794829,0.8237999,0.048788324,298.56708,8.04839,444.64383,436.59543,0.12436617970466614,2464.123512029648,105000
20.436028,0.17968352,-1.8438416,98.899635,-188.71144,3254.087,408.29834,465.0055,95.715164,0.23011029,0.07687314,3.024748,0.8198425,0.007245355,301.68057,-8.107103,423.38235,431.48947,20.061893,0.180283,-1.7537861,420.82114,488.6841,82.389496,0.26752388,0.03543222,2.4932325,0.8459743,0.028637828,301.69193,4.394982,435.90573,431.51074,0.012406590414047241,2526.1564807891846,110000
10.915403,0.1251976,-1.949749,35.63073,-48.847717,993.0799,447.61456,309.9854,53.759293,0.74158925,0.0014136375,1.350487,0.63568306,0.015641809,302.85162,14.714459,462.75714,448.0427,13.312171,0.120527096,-1.846635,445.13977,350.5929,56.38335,4.8706365,0.025851587,2.14087,0.6688546,0.029905882,302.88498,7.314192,460.284,452.96982,0.012407077741622925,2588.191883802414,115000
21.53205,0.13739058,-1.8112056,79.342125,-81.12183,2124.4941,429.21112,321.25943,72.52135,1.3550348,0.04043922,3.4994526,0.8151449,0.032919213,301.96912,2.887061,444.30957,441.42252,19.626629,0.25093886,-1.6457899,432.6527,346.62808,69.07431,3.4566925,0.068184525,3.6100833,0.826869,0.05053395,301.95572,-5.490921,447.7505,453.24142,0.012408190059661865,2650.2328536510468,120000
19.727367,0.15714966,-1.6838005,252.59586,-276.88245,3406.5757,420.88782,438.50592,81.50997,3.8748796,0.020918123,2.0154023,0.8048845,0.032337926,300.6972,8.74484,435.92267,427.17783,20.24535,0.15747422,-1.7987602,424.22537,454.12793,77.97116,4.908763,0.020860944,2.318028,0.8548416,0.014641707,300.7045,8.762245,439.2606,430.49835,0.012406826782226562,2712.2670001983643,125000
19.97071,0.11372261,-1.6886386,232.0459,-325.81265,3741.9558,418.4309,480.07764,84.47597,0.6578374,0.019387018,1.8597128,0.8230704,0.04790884,300.4057,9.196315,433.4512,424.25488,19.768114,0.21875533,-1.6656233,428.9299,476.6269,73.4102,2.0750165,0.0217399,2.0828593,0.8429399,0.029460628,300.40656,8.489519,443.95026,435.46072,0.012407443141937256,2774.304233312607,130000
21.952623,0.2570207,-1.6850133,159.19797,-84.02544,2100.3008,418.79117,423.7986,83.56751,0.31683505,0.027071802,2.8548303,0.8415263,0.05963082,303.75018,6.9644446,433.97867,427.01422,22.78489,0.23525125,-1.8394744,418.22223,437.62494,84.37399,1.093682,0.008976946,1.474788,0.83253664,0.060500972,303.7418,12.460416,433.40933,420.9489,0.012404986619949342,2836.3291873931885,135000
20.060234,0.26490963,-1.6743445,165.46643,-372.14462,4172.75,423.36557,496.2399,79.00139,1.2812681,0.018880334,2.4173877,0.83482635,0.073376276,306.43878,9.536273,438.68753,429.15125,19.862411,0.1942221,-1.7180572,430.21356,347.57605,71.59743,1.2540615,0.061935127,3.222815,0.8398491,0.039536532,306.42007,-3.6571622,445.53458,449.19174,0.012407261371612549,2898.365512609482,140000
21.73919,0.23295234,-1.709007,615.4687,-406.21542,6875.9233,411.53302,505.7542,92.009995,0.3038692,0.032564387,2.327283,0.8472622,0.045752376,308.60153,5.380657,426.96307,421.58243,20.379787,0.2638995,-1.6120186,416.88013,421.19476,85.692566,0.49497503,0.053581655,3.8557355,0.865309,0.044632006,308.59152,-1.1052681,432.30972,433.41498,0.012400777292251587,2960.3694112300873,145000
16.887852,0.11743319,-1.7178628,337.28323,-241.63336,4094.6306,420.20178,507.3146,82.85603,1.0418676,0.019997973,2.1638374,0.7846248,0.017736038,304.69818,9.141563,435.4367,426.29514,19.56107,0.122388445,-1.781816,415.25464,513.07263,88.466385,2.113781,0.026187342,2.630066,0.77784485,0.01590068,304.68976,7.255473,430.4891,423.23364,0.012408866930007935,3022.4137568473816,150000
16.210674,0.025593579,-1.5918717,290.297,-336.3439,4167.742,434.0257,344.0135,67.584816,0.98214847,0.023007575,2.7266243,0.77063257,0.025297863,298.38562,8.054152,448.94498,440.89084,22.904156,0.2251539,-1.7024949,434.69867,383.63876,67.03429,0.6643393,0.04727219,3.6825256,0.8746636,0.030596884,298.36044,0.81387067,449.6167,448.80283,0.012399067783355713,3084.409111022949,155000
20.506191,0.09891002,-1.7266319,313.9356,-358.09973,3920.0796,419.9828,593.3288,83.42749,2.6371179,0.024832219,2.321436,0.8183034,0.0495345,305.46585,7.6878977,435.25607,427.56818,22.193798,0.2660771,-1.6833982,418.72656,524.34906,84.98057,0.3240861,0.06117188,3.5994234,0.84583783,0.05410354,305.47708,-3.4127536,434.00043,437.41318,0.012409605741500854,3146.457150220871,160000
13.186418,0.13761982,-1.6570244,77.398964,-82.24833,1622.492,433.6088,332.70584,68.12039,0.96983117,0.019911828,2.5876658,0.7428376,0.042096153,304.20068,9.1528425,448.81882,439.666,15.560621,0.08614719,-1.6778414,438.076,344.67905,63.536926,1.0049871,0.019706674,2.8940206,0.73111075,0.034849126,304.18515,9.21478,453.28525,444.07047,0.01240896816253662,3208.5020020008087,165000
19.720114,0.22250268,-1.7210803,221.52637,-140.85469,2343.483,425.36383,415.53604,76.728485,2.1869946,0.015690424,1.9826386,0.82718873,0.062384125,308.38632,10.580605,440.78314,430.20255,19.234325,0.1918256,-1.664948,428.71573,362.11563,73.162926,4.002879,0.040308684,3.729471,0.83133066,0.06775429,308.38705,2.9886765,444.13507,441.1464,0.01241464204788208,3270.5752289295197,170000
17.521725,0.2815824,-1.5298245,131.85338,-186.7998,2359.2705,413.8875,569.58875,90.18538,2.2873948,0.02755675,2.4139466,0.84890634,0.038685493,307.08328,6.891947,429.24167,422.34973,21.454422,0.35020506,-1.7535067,421.97546,578.6909,81.290115,0.60132354,0.039040837,2.9727786,0.8647002,0.033073805,307.06848,3.3652136,437.3289,433.96368,0.012394230031967162,3332.546396970749,175000
20.94032,0.17806843,-1.6404597,185.13869,-266.304,3903.7188,421.08093,518.39294,81.959915,0.80723673,0.03986357,2.8151977,0.8526224,0.06511557,307.47507,3.1166992,436.45468,433.33798,22.70102,0.24316353,-1.6980324,424.8471,361.7362,77.20313,2.8157878,0.03497199,2.56085,0.88547075,0.060505323,307.47375,4.620719,440.2208,435.60007,0.012397856855392455,3394.535701751709,180000
17.3904,0.11777647,-1.6424062,625.8565,-331.02005,10837.822,422.88788,498.17902,80.19619,6.182063,0.11053684,5.076403,0.841089,0.045352224,308.38104,-18.668415,438.30692,456.97534,17.334122,0.2996192,-1.5858028,427.725,469.36414,74.68862,3.7325568,0.030188086,2.7450738,0.8336828,0.065834425,308.39398,6.109875,443.14468,437.03482,0.012400185680389404,3456.5366463661194,185000
19.32206,0.11376862,-1.6637363,287.62207,-205.62877,2922.0671,418.26495,457.55432,84.32374,2.7114887,0.02405506,2.2143521,0.8375772,0.05947193,311.65912,8.085978,433.8479,425.76193,22.352558,0.19325508,-1.5940719,413.36996,494.1969,90.06885,0.7493595,0.056754127,3.5384378,0.8822578,0.06474848,311.66223,-2.1050062,428.95306,431.05807,0.012404406070709228,3518.558694601059,190000
20.59323,0.047660843,-1.6861358,131.90775,-69.37845,2180.9548,421.48447,504.35983,80.79918,3.6325066,0.044609006,2.5584126,0.84883726,0.06240167,312.64923,1.6854903,437.1169,435.43143,23.788925,0.27743837,-1.5765448,416.67688,469.5142,85.8522,1.0161891,0.09174347,3.9518178,0.8860879,0.055867955,312.6379,-13.0505905,432.30878,445.35938,0.012390681171417237,3580.5121114254,195000
